day,mean,std_err
82,25425,1.447795
83,25250,1.429051
84,25425,1.435656
85,25275,1.454728
86,25025,1.438092
87,25400,1.528398
88,25750,1.625096
89,26275,1.684483
90,26500,1.647726
91,26425,1.659024
92,26950,1.649602
93,27250,1.694015
94,27400,1.708728
95,27725,1.736731
96,27400,1.764865
97,27375,1.766595
98,27750,1.744903
99,28050,1.719357
100,27850,1.742322
101,27900,1.735223
102,28125,1.710697
103,27900,1.695877
104,27600,1.725471
105,27675,1.713326
106,27750,1.709806
107,27150,1.687287
108,26750,1.727987
109,26575,1.765958
110,26325,1.799093
111,26075,1.840987
112,26400,1.819959
113,26300,1.809420
114,25725,1.765286
115,25825,1.765605
116,26350,1.731167
117,26575,1.728036
118,26500,1.743201
119,26225,1.722820
120,26325,1.728217
121,26175,1.706930
122,25675,1.654308
123,25300,1.682335
124,24950,1.688176
125,24875,1.700804
126,24500,1.745351
127,23950,1.649981
128,23475,1.524380
129,22925,1.433260
130,22925,1.433260
131,22825,1.450382
132,22425,1.412837
133,22425,1.412837
134,22050,1.363795
135,21475,1.290827
136,21800,1.289961
137,21825,1.290294
138,21475,1.274258
139,21200,1.267971
140,21125,1.277785
141,21150,1.276984
142,20925,1.279349
143,20550,1.281088
144,20725,1.273768
145,21025,1.292037
146,20775,1.291553
147,20575,1.317141
148,20625,1.309908
149,20800,1.278769
151,20850,1.271097
152,20850,1.271097
153,20525,1.265893
154,20075,1.241666
155,19975,1.245736
156,19750,1.229202
157,19300,1.196975
158,18775,1.191893
159,18725,1.201035
160,18425,1.192103
161,17975,1.145910
162,17525,1.082813
163,17500,1.079931
164,17400,1.094760
165,17375,1.095267
166,17700,1.102384
167,17850,1.082561
168,17750,1.070485
169,17675,1.049635
170,17525,1.044622
171,17750,1.080943
172,18375,1.156875
173,18525,1.171531
174,18200,1.038147
175,18150,1.034740
176,18125,1.035729
177,17900,1.005485
178,17775,0.997176
179,17950,1.008681
180,17950,1.008681
181,17925,1.012045
182,17925,1.012045
183,18050,1.013626
184,18225,1.006533
185,17900,1.027010
186,17425,0.993660
187,17250,1.014735
188,17650,1.020141
189,17775,1.016420
190,17775,1.016420
191,17900,1.012299
192,18125,0.986906
193,18225,0.983925
194,18050,1.017319
195,18075,1.016358
196,18275,1.039824
197,18900,1.152606
198,19625,1.217419
199,19900,1.187329
200,20200,1.187013
201,20475,1.182152
202,20775,1.184529
203,20975,1.205968
204,21325,1.168004
205,21225,1.183473
206,21550,1.250975
207,22100,1.296052
208,22150,1.295931
209,22025,1.287676
210,22500,1.317194
211,22550,1.324269
212,22075,1.286170
213,21925,1.283251
214,21825,1.271263
215,21825,1.271263
216,21900,1.264812
217,22025,1.263669
218,22200,1.261547
219,22125,1.261045
220,22225,1.254735
221,22400,1.230752
222,22375,1.232217
223,22475,1.233383
224,22775,1.253738
225,22875,1.229933
226,23025,1.202335
227,23350,1.149212
228,23175,1.152111
229,23025,1.174993
230,22975,1.184529
231,23100,1.180466
232,23350,1.179274
233,23475,1.174195
234,23900,1.097611
235,23925,1.093954
236,23675,1.104189
237,23775,1.142633
238,23675,1.115453
239,23775,1.111580
240,23475,1.135775
241,23275,1.146183
242,23525,1.192155
243,23500,1.189012
244,23475,1.189531
245,23475,1.189531
246,23025,1.133847
247,22825,1.088512
248,23025,1.107072
249,23000,1.107362
250,22925,1.089373
251,22650,1.072118
252,22750,1.063455
253,22825,1.061183
254,22725,1.058293
255,22700,1.060189
256,22900,1.061131
257,22875,1.060771
258,23050,1.083369
259,23200,1.086393
260,23050,1.103942
261,23150,1.099176
262,23200,1.095559
263,23125,1.094981
264,22525,1.133020
265,22675,1.110961
266,22625,1.118418
267,22875,1.141921
268,23425,1.221622
269,24125,1.266978
270,25025,1.376357
271,25275,1.393730
272,25175,1.392340
273,25450,1.412865
274,25675,1.424512
275,26000,1.416863
276,26075,1.406853
277,25675,1.340423
278,25225,1.344195
279,24900,1.389154
280,25150,1.361777
281,25350,1.346082
282,25225,1.324522
283,25875,1.512939
284,26775,1.704218
285,27550,1.708051
286,27525,1.710989
287,27650,1.718120
288,27425,1.721514
289,27300,1.735728
290,27075,1.734714
291,27375,1.729410
292,27400,1.727281
293,27200,1.751142
294,27300,1.746496
295,27425,1.735975
296,27175,1.754953
297,27025,1.770059
298,27100,1.776865
299,27000,1.779747
300,27450,1.759243
301,27975,1.801904
302,28325,1.801176
303,28275,1.806235
304,28425,1.769847
305,28500,1.761391
306,28425,1.777248
307,28275,1.775876
308,27975,1.746599
309,27700,1.716173
310,27025,1.634200
311,27100,1.643852
312,27475,1.667703
313,27125,1.664027
314,27050,1.659047
315,26975,1.656233
316,26900,1.665758
317,26900,1.665758
318,27200,1.642863
319,27775,1.598627
320,27500,1.637452
321,27025,1.720642
322,26650,1.733331
323,25750,1.586959
324,25000,1.362901
325,24750,1.301321
326,24875,1.293342
327,24325,1.310242
328,24525,1.316239
329,24675,1.303067
330,24750,1.302761
331,24300,1.315865
332,24400,1.315200
333,24725,1.296142
334,24700,1.295762
335,24800,1.298172
336,25250,1.306594
337,25600,1.297016
338,25250,1.279526
339,25225,1.280863
340,24875,1.274356
341,24450,1.180545
342,24050,1.157017
343,24000,1.162433
344,24350,1.138283
345,24600,1.152063
346,25125,1.124826
347,25350,1.150842
348,25425,1.159142
349,24950,1.206208
350,25000,1.204159
351,24625,1.167094
352,24200,1.110293
353,24225,1.108765
354,23850,1.121690
355,23450,1.153771
356,23475,1.150537
357,23000,1.208305
358,22900,1.201978
359,22550,1.170443
360,23125,1.190687
361,23700,1.117027
362,23800,1.106345
363,23825,1.103906
364,23475,1.124715
365,23225,1.098572
